60;Darius Hassanpour / Die Linke;Die Linke;nein;ja;etwas;total;meist;meist;negativ;weiblich;FALSCH;WAHR;WAHR;WAHR;FALSCH;WAHR;FALSCH;FALSCH;WAHR;WAHR;FALSCH
61;Matthias Cornelsen / Volt;Die Linke;ja;ja;meist;meist;gar nicht;etwas;neutral;divers;FALSCH;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH
62;Uwe Schmidt / SPD;SPD;nein;ja;etwas;etwas;meist;total;negativ;weiblich;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH
63;Darius Hassanpour / Die Linke;BSW;ja;ja;etwas;etwas;etwas;etwas;neutral;männlich;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR
64;Sandra Schmull / CDU;CDU;ja;ja;gar nicht;meist;etwas;etwas;neutral;weiblich;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH
65;Micheal Labetzke / Grünen;Grünen;nein;ja;total;total;total;total;positiv;weiblich;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
66;Arno Staschewski / AFD;AFD;ja;;etwas;etwas;total;meist;neutral;männlich;WAHR;WAHR;WAHR;FALSCH;FALSCH;WAHR;WAHR;FALSCH;WAHR;FALSCH;FALSCH
67;Darius Hassanpour / Die Linke;Die Linke;ja;ja;etwas;total;etwas;meist;negativ;divers;FALSCH;WAHR;WAHR;FALSCH;FALSCH;WAHR;WAHR;WAHR;FALSCH;FALSCH;FALSCH
68;Uwe Schmidt / SPD;Die Linke;ja;ja;meist;total;gar nicht;meist;neutral;männlich;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR
69;Uwe Schmidt / SPD;SPD;ja;ja;etwas;total;meist;meist;neutral;weiblich;FALSCH;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH
70;Micheal Labetzke / Grünen;Grünen;ja;ja;meist;total;total;total;neutral;männlich;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH
71;Darius Hassanpour / Die Linke;Die Linke;ja;ja;meist;meist;etwas;total;negativ;weiblich;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;WAHR;FALSCH;FALSCH
72;Uwe Schmidt / SPD;Grünen;nein;nein;gar nicht;total;total;etwas;positiv;weiblich;FALSCH;WAHR;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH
